,0
278,#医疗#中国支援津巴布韦：湖南专家组驱车5小时，赶赴3家医疗单位指导战疫！ L医院那些点事的微博视频
279,
280,"#医疗##海外医疗##日本##新型冠状病毒# 紧急事态宣言解除后的日本诊所。按照政府要求的新生活基准，避免3密（人群密集·房间内密封-空气不流通·人与人之间距离紧密），大家开始了有序的生活。今天带患者来到整形外科（日本的骨科）进行治疗。诊所内，基本都是60岁以上中老年人。新冠病毒对于中老年人来说危险性较大，但是只要做好各种基本的自我防护措施（去公共场所必须自戴口罩、尽量与人保持距离、进出门进行手指消毒等），放松心情，就可以正常看病。（现场图片均出自日本国际医疗中心医疗翻译现场拍摄且在征得患者及患者家属同意后发送）
——-日本国际医疗中心·严肃医疗 收起全文d"
281,
282,"🌳市场独家｜严重疾病医疗保障

过去几年，不乏客户反映香港保险市场针对严重疾病医疗报销的保障乏善可陈。

依我过往理赔经验，客户不幸遭遇严重疾病，除了到处奔波寻找最合适的医疗方案，亦为工作长期中断,生活不继的现实问题担忧。

如今公司率先补充市场保障缺口，在重疾保险基础top-up医疗保障。遭遇严重疾病风险时，不需为医疗方案费心，亦不需要担心医疗开支，更加不需要担心失去经济收入影响家庭生活水平。#保险##医疗# 收起全文d"
283,
284,#英特尔##人工智能##医疗##DIGITIMES# 美国宾州大学佩雷尔曼医学院(The Perelman School of Medicine at UPenn)与英特尔实验室(Intel Labs)共同利用联合学习技术(Federated Learning)，开发出能准确侦测脑部肿瘤的算法。由于这种机器学习技术可跨装置进行训练，不需交换数据样本，因此更能保障隐私。 O联合学习检测脑部肿瘤 收起全文d
285,
286,"股市 #医疗#
医疗板块逆天了

1、大盘死水一潭

昨天晚上道琼斯指数上涨1.52%，受此影响，今天A股也是小幅高开，不过两市走势愈发无聊，今天上午大盘仅仅波动11个点，看得我是昏昏欲睡，这也叫行情？简直就是死水一潭，成交量也是进一步下降。
按照这个走法，多头要是这么墨迹下去的话，可不是什么好事啊。

2、医疗一骑绝尘

板块方面，今天领涨的是医疗板块，医疗板块依旧是一骑绝尘，量能和价格走势配合不错，上涨趋势依旧没有改变，还是继续看好医疗，就是最近上涨的幅度稍微有点降低，赚钱效应不如以前了，操作上要稳一点。

3、农业板块领跌

今天领跌板块是农业板块，农业板块在这个点位出现高位跳水可不是什么好事，之前农业板块一直作为领头羊，始终作为防守板块，今天这是防不住了？龙头要是都防不住，那可要出事了，大家要小心，先看下方支撑位的力度吧，要是这个点位突破支撑位的话，那么回调幅度可不小。

文中观点仅供参考，不构成任何操作建议。投资有风险、入市需谨慎。  收起全文d"
287,"其实何止医疗，教育的问题更大，某些关系民生的行业所谓的私有化改革该叫停了

#医疗##教育#"
288,"医疗这个板块的指数大家看一下，为什么我一直给大家提示这个板块的机会。

#今日看盘# #医疗#"
289,
290,"【短短几天，像“变了一个人”，她到底经历了什么?】
“40、50岁”对于我来说，是一个“尴尬”的年纪。
1、90后，甚至00后，成了我的同事;
2、是同事眼里的“大妈”;
3、还没到退休的年龄。
想和同事搞好关系，可是一张脸就有了“代沟”，想穿年轻一些的衣服又穿不出来。由于年纪的关系，自己再优秀心里也会有危机感，担心有一天会被公司“劝退”。不知道有多少人和我有一样的感触?

“6天、15天、40天、50天、73天”这些数字，对于别人来说可能只是时间概念。可是对于我来说，是它们“见证”了我的脸一天天改变，一天天变美，可以说它们是我人生的“蜕变史”。#面部年轻化# #面部提升# #医疗# #健康# 收起全文d"
291,昨日，山西客户关懂来我司进行参观并洽谈合作，并与我们帅气的CEO合影 #虚拟现实# #医疗# #VR# #人工智能#
292,#医疗# 【了解！湖南这118所医疗机构可做新冠病毒核酸检测】从湖南省卫生健康委了解到，昨天下午公布了湖南开展新冠病毒核酸检测的医疗机构名单↓↓
293,
294,"【联合国难民署：巴西和哥伦比亚境内的土著人急需抗疫支持】

据联合国新闻报道，难民署发言人曼多（Shabia Mantoo）表示，目前巴西境内约有5000名来自委内瑞拉的土著人，其中主要是瓦劳族（Warao），此外还有埃涅帕（Eñapa）、卡里纳（Kariña）、培蒙（Pemon）和雅克瓦纳（Ye'kwana）等多个民族。

曼多表示，如今巴西逐渐成为疫情的又一“震中”，土著民族所居住的亚马孙地区也遭遇沉重打击，极其有限的健康和卫生条件可能将使许多人陷入困境。
而在哥伦比亚，则有多个土著民族居住在临近委内瑞拉的边境地区，包括瓦尤（Wayuu）、巴里（Bari）、尤卡帕（Yukpa）、因加（Inga）、司夸尼（Sikwani）和阿莫鲁阿（Amorúa）等。

曼多表示，这些土著民族祖先所生活的家园横跨哥伦比亚和委内瑞拉两国，成员也拥有双重国籍，但许多人却未能获得在哥伦比亚的合法居留权，也未在哥进行身份登记，这让他们在疫情期间面临额外的困难和风险。 部分土著人社区居住地点封闭偏远，难以获得医疗服务、清洁用水和肥皂。其他人则在拥挤的市区非正规定居点内栖身，食品匮乏，营养不良情况严重。由于相对隔绝和贫困，土著人师生也没有实施远程教学所需的设备。

曼多指出，许多土著人平时依靠务农、出售农产品和手工艺品为生，疫情期间的封锁措施使得这些赖以维持生计的活动戛然而止，部分陷入贫困的土著人被迫冒险上街摆摊以支持生活所需，这不但增加了他们的感染风险，还可能因为被其他居民视为不遵守封锁令和社交距离而引发歧视和污名化。

此外，曼多表示，哥伦比亚部分地区的武装冲突尚未停止，许多土著人生活在由非正规武装团体所控制的区域，正面临他们的威胁，武装团体对儿童兵的招募也可能增加。 自今年三月以来，难民署已协助巴西政府，为大约1000名来自委内瑞拉的瓦劳人提供了住房、食品、药品和教育服务，此外还有770名瓦劳人在卫生条件更好的玛瑙斯和贝伦市得到重新安置，并获得了由难民署提供的蚊帐、卫生用品包、太阳能灯具和交通服务。

在哥伦比亚，难民署则与合作伙伴一起向瓦尤族和尤卡帕族社区的最贫困人口发放食品和卫生用品。

曼多表示，鉴于近期土著人社区内的疑似和确诊病例不断增加，还出现了首例死亡病例，难民署在资金严重短缺的情况下仍然加大了援助规模，新建了条件更好的居住、隔离和治疗设施，并启动了早期预警系统。 一场由欧盟和西班牙主办，旨在为拉丁美洲境内的委内瑞拉移民与难民提供援助的国际捐助方大会即将于5月26日召开，难民署呼吁各国在会上做出慷慨承诺。令人震惊的是，委内瑞拉移民与难民区域应对计划所需的资金目前仅有4%到位。
#海外抗疫日记##南美疫情##哥伦比亚##巴西##土著##医疗# 2巴西·里约热内卢 收起全文d"
295,
296,"日本国际医疗中心今年第二回医疗翻译养成讲座开始日期变更的通知(2020年5月30日(周六)→2020年6月6(周六)变更)为了预防新型冠状病毒感染，将第二次医疗口译培训讲座的开始日期推迟一周，改为6月6日(周六)。最后一天也将改为7月18日(周六)，而不是7月11(周六)。另外，从6月6日(周六)开始讲座时，考虑到口罩的佩戴和手的除菌的彻底，并且确保能够容纳预定听课人数的约一倍人数的大会场，不会变得密集等，但根据今后冠状病毒感染症的状况，日程和内容也有可能发生变化。那个时候我们会再联系大家。给各位学生带来了不便，希望大家理解。如果有不明白的地方请随时咨询。◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇　 （株）日本国際医療センター  医療通訳養成講座事務局 担当：末石 Email:info@j-imc.co.jp　　TEL:092-791-8578 ◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
#日本##医疗##翻译# 收起全文d"
297,"报考医疗需要做哪些准备？
做题从何做起，
你都清楚了吗，如果没有，那来看看这个吧
医疗刷题打卡计划
定制专属每日刷题
养成做题习惯
对症下药，轻松取得高分
公务员#事业单位##医疗##医生#"
298,发布了头条文章：《上汽大通G10救护车空间大，还省油，欧力给》#救护车# #急救车# #上汽大通g10# #急救# #医疗# #120急救# #医疗设备# #院前急救# 上汽大通G10 O上汽大通G10救护车空间大，还省油，欧力给
299,
300,"#医疗# 2020.5.18。今天上午成都出院的病历才邮寄过来，下午拿去县医保局报销，差一样东西不齐，明天再去。送去要停二个月才能拿到报销的钱，要是能异地报销省事多了。建档立卡户，每年都要来家贴国家政策宣传页，其实住院看病报销力度还是很大的，可是治病的事里面好多不确定因素，钱就是个大问题。
今天下午成都病友给我聊天，她是和我一天住院的，比我小五岁，到现在还没查出她呼吸不好的原因。她不到七十岁的父亲和老公陪着她。其实她老公自己可以照顾，她父亲也想回去，可她就是不让她爸走，她爸一说回家，她就说不活了不看病了，羡慕她的任性。
这次去成都，没有看成病，远方的劳尔挚友每每提起就说不甘心，对我看病的事她特别遗憾。感谢她的理解信任。啥也不盼，就盼着国家医疗改革，农民住院看病只用负担自费部分，那就解决大问题了！ 2安阳·内黄县 收起全文d"
301,#医疗#武汉医疗机构通过新方式进行全面恢复诊疗秩序，老人患者进行特殊安排。 L医院那些点事的微博视频
302,
303,"HCI人机交互 #产品设计# #医疗# #口罩# #人工智能# 图 1-6：Smart mask 防雾霾口罩 通过其内置的传感器检测周围的环境，并在其用蓝牙连接的设备上显示通知，提醒用户戴口罩。当达到一定的用户基数后，还可以进行大数据监测，绘制出完整的、实时的全城空气质量监控图。
图7-11：Life Mask 这款口罩的独特之处在于，它改变了以往口罩挂在耳朵上的设计，可以直接贴在脸上。同时设计了一个可放置在公共场所的储存设备，里面的口罩采取撕拉式的方式拿取，非常方便和干净卫生。 收起全文d"
304,
305,"HCI人机交互#医疗##产品设计##救援##科技# Just One 救生担架——Just One 整体设计简单，结合了担架与轮椅之间的交叉点，可实现只用一个人的力量就可以把伤者从一个地方转移到另一个地方。担架的平衡设计更像是躺椅，患者可以固定在适当位置。像手拉的人力车一样，医疗助理从前面拉起担架，后面有轮子，免去了第二个人力。
患者可以被安全带固定在上面，只需一名助手即可轻松运送到医疗区。同时，Just One拉伸两端都带有把手，也可以用作传统的担架。 收起全文d"
306,
307,"HCI人机交互#医疗##产品设计##设计#
Facett 是世界上第一个模块化助听器，具有易用性和升级性的同时还很美观。 这款创新型助听器具有磁性，可以轻松地卡入到位。其中一个模块是充电电池，配有专门的小型便携式充电盒，充电一整夜可续航一天。由于每个人的听力不同，使用者可以在电子设备上的应用程序中调整设备。Facett 还具有高分辨率的声音，可通过 96 个输出通道进行过滤，并具有隔离语音和减少背景噪音的技术。 外形设计的灵感来自墨尔本博物馆矿物学收藏中的水晶形式。类似珠宝的外形时尚美观，消除了人们对助听器的刻板印象。 收起全文d"
308,
309,"刷新您的想象
刷新您的想象，治疗胆管结石可以这么简单，微创介入球囊推石术。
  无需开刀，零切口，只是经皮肤穿刺肝内胆管，通过导管鞘进入球囊把胆管内结石轻轻推送到肠道，然后结石随粪便排出体外，病人皮肤上只留下一个米粒大小的瘢。
近日，我院收住一位胆管结石68岁老人，四个月前患胆管结石梗阻性黄疸，曾在外院行胆道引流术。此次住院要求取出让老人痛不欲生的结石，并且强烈拒绝开刀手术，经我们全面评估病情，决定采取介入球囊推石术。在导管室、麻醉科的帮助下，三十分钟把胆管内结石顺利推送进入肠道。患者避免了开刀手术，推石三天后病人出院。#健康##黄疸##微创##结石##秦皇岛身边事##医疗# 2秦皇岛 收起全文d"
310,"株式会社エリメントHRC成立于2006年
把医生和医疗机关结合在一起一转眼已经十几年！疫情下的今年CEO狩野先生为医疗机关作出巨大贡献！现在医疗相关人员登录数近2万人，有需求者参考
O网页链接

#创业##老板##医疗##医生# 2日本·东京"
311,
312,"害怕生了大病付不起医药费？
还要到处求人借钱
那么趁早给家人配置这两种保险
第一百万医疗
30岁大人 每年只需要三四百块钱 一顿火锅钱 不管大病小病 只要住院治疗都能报销 并且包括自费项目和进口药
第二 意外险
50万保额 5万意外医疗 1年也只需要 1 2百块钱
这两个保险都非常非常便宜 但是能起到很大的作用 还犹豫什么呢 赶紧行动起来吧
#保险知识##保险经纪人##儿童保险配置原则##医疗##重疾保险##重疾险# 收起全文d"
313,
314,"#重疾险#
很多朋友，在选购重疾险的时候都会这么觉得
病种范围当然是保的越多越好啦

其实不然

2007年 保险行业协会对25种常见重疾进行统一定义， 也就是这25种重疾所有保险公司的病种和理赔条件都是统一的
并且保监会要求， 自07年8月1日起 各保险公司新开发的重大疾病保险 都必须保障25种重疾中的最高发的六种疾病
实际上目前在售的重大疾病保险，都已经包含了《规范》定义中的全部25种重大疾病

从赔付数据来看:
统一定义的25种重疾，占所有重疾理赔的95%以上
其中六大高发重疾 占比超过85%，恶性肿瘤占比超过70%

目前大多数重疾险疾病种类超过100种，还可能会增加到150种，甚至200种
但发病率最高、理赔最多的还是6种高发重疾
我们在选重疾险的时候 是不能以一款重疾险保障疾病种类的多与少 来判断这款产品的好与坏的
#养老金##保险知识##保险经纪人##冒个泡##医疗# L明亚保险经纪景芸的微博视频 收起全文d"
315,
316,"#5G##医疗##教育# 5G将如何颠覆我们的生活
未来飞行汽车能否成为现实，如何实现？
VR 技术（虚拟课堂、旅游等）是否能通过5G实现大范围应用？
 
5G离我们越来越近，但是，你真的了解5G吗？
国家信息中心大数据发展部规划处处长王建冬、华为企业业务全球Marketing 副总裁李俊朋做客直播间，分享解读《迈向万物智联新世界：5G时代·大数据·智能化》，共同探讨5G时代。 2北京·玫瑰公园 收起全文d"
317,"🍏🍐🍍🥝🍑🍓水果不仅热量低，且富有大量的维生素、矿物质与膳食纤维，能补充身体需要的营养素且同时帮助身体新陈代谢，经常食用就能轻松吸附油脂以及增加饱足感来降低食欲，让正在控制体重的你能事半功倍❣️ #医疗 #台灣 #台湾
👉O水果也是被制造出来的甜食，糖尿病、肥胖病人选对这8种水果"
318,"#健康中国2030##医疗#
为平日无暇顾及身体的朋友提供医疗便利
周末都不松懈的
勤劳智慧的护理团队
认真工作的你们，真美 2上海·禾新医院"
319,
320,HCI人机交互#人工智能##交互设计##产品设计##医疗# ePM系列病人监护仪系统——迈瑞ePM系列是用于亚急性护理的创新型自适应监测解决方案。它有助于通过动态EWS快速识别患者的状态。可升降的机架可以扩展用于监视危重病人的高级模块，而弹起的盖子将在使用后自动关闭以防尘。轻便的可穿戴吊舱采用特殊的T形设计，并配有可更换的皮带，可为不太严重的患者或康复时的手腕运动提供舒适感。动态模块是符合人体工程学的医学级，具有独特的完整生命体征。通过所有共享模块，ePM为具有挑战性的临床情况提供了强大而经济的解决方案。 收起全文d
321,
322,"HCI人机交互#医疗##产品设计##设计#
外骨骼鞋底，参数算法以健康的脚为基本模型，建立参数数据点，根据不同的脚部问题改变参数，并产生最佳结果来解决不同的问题。该算法的设计灵感来自鸟类的轻巧骨架。它采用重量轻且支撑力强的外骨骼，并根据脚的压力特性建立应力点和减震区域，以解决因局部压力过大，作用力不均匀和支撑力不足而引起的生物力学问题。 收起全文d"
323,
324,HCI人机交互#产品设计##医疗# Spinamic for scoliosis patient 脊柱矫正支架——Spinamic是一种用于矫正脊柱侧弯的纤维材料背心式医疗设备。与现有的由常规硬塑料制成的刚性支架不同，它们由织物/纺织材料制成，且磨损更轻，更舒适。它还在校准器内部配备了压力调节器，可根据患者的脊柱弯曲度施加适当的压力，从而实现更准确的治疗。 收起全文d
325,
326,"#崔松话健康#
今天这个视频有点长，做了二十多年科普，想跟大家聊一聊：血的指标高/低到底要不要吃药，作为医生是怎么想的？
其实心中有一杆秤，一边是利(疗效/获益)，一边是弊(副作用)，每一个用药决定都经过了利弊权衡。
#健康##医疗##听崔医生讲心脏知识# 2上海 L医声相伴崔松说的微博视频 收起全文d"
327,谁知道这个怎么登陆进行继续教育啊！？给的网址打不开#沈阳##医疗# 2沈阳
328,
329,今天的求援患者喉咙的不适感持续、晚上还会出现呼吸不顺畅的感觉、伴有轻微疼痛。W女士想要做全面的甲状腺检查。 日本国际医疗中心安排W女士在「とじたま甲状腺糖尿病クリニック」做甲状腺专科检查。甲状腺专科主治医生非常优秀——曾在日本第一的神户市「医療法人神甲会 隈病院」任职。听取了W女士的病情后、为W女士做了触诊、安排了血液检查、甲状腺彩超。检查结果出来后、50多项血液指标、逐一为王女士解释说明。W女士确实患有慢性甲状腺炎、但是甲状腺功能处于正常水平、不需要开药调整。需要定期复查。彩超显示、W女士的甲状腺体积比正常人偏小、但是没有结节及其他肿瘤等物质。喉咙的不适感、还应该是心里上面的问题、建议W女士注意休息、保持良好心情很重要。#医疗##健康##海外医疗# ——日本国际医疗中心·华人救援 收起全文d
330,"👨🏻‍⚕️许多人在得知自己不能手术、不能放疗后，就以为已经没有治疗手段
🕹「质子治疗」便可以解决这个治疗困境。「质子治疗虽然已经有3年多，但知道的人仅限于同温层，十分可惜💔 #医疗 #台灣 #台湾
👉O亚洲“换肝之父” +“质子治疗中心”两大抗癌王牌：肝癌患者人生重现一道彩虹"
331,现实不是朋友圈那样的人生百态！大多数老人真的非常可怜#老人# #养老# #医疗#
332,导读：中国农村至少1.1亿老年农民，没有退休金和社保，其中有些人为生计发愁。只是因为这些贫困农村人口根本不懂上网、不懂手机、根本发不出声音，仿佛被排斥在现代文明之外，但是他们是真实的存在！……O一位医生的诊疗记录：农村最恐怖的是什么？
333,各种推车柜子，拿图定做哟#医疗##实验室##医用##推车#
334,
335,"医疗#医疗#
深入调研 明确目标任务
扎实开展对口帮扶工作

为扎实开展好对美姑县妇幼保健计划生育服务中心的对口支援工作，让帮扶工作真正起到实效，德昌县妇幼保健计划生育服务中心在德昌县卫健局的安排及指导下，不断优化改进帮扶工作方案，成立了以中心班子成员为组长的3个帮扶工作组，建立了覆盖各职能、公卫、临床保健科室的对口帮扶工作机制。
4月8日，由中心办公室、医务科、护理部、总务科、儿童保健科负责人为成员的第一工作小组，在中心主任带领下，赴美姑县妇计中心开展了为期两天的对口帮扶工作。
工作小组此行以查找问题短板，明确帮扶细则为主要工作任务，深入美姑县妇计中心各科室开展调研和指导工作。一是调研创建二级妇幼保健院的组织领导机构建设情况，分享中心二级妇幼保健院创建工作责任分解落实工作经验，同时按照二级妇幼保健院评审标准给予内设机构设置工作指导。二是深入了解临床及保健业务工作开展情况，特别是月子中心的运行状况。三是协助查找院务管理、安全和质量管理、总务后勤保障等方面工作存在的问题。四是针对现场发现的问题及时予以了细致的指导，并拟定了需整改的任务清单，明确了整改时限，建立了整改成效督促检查机制。五是建立对口交流平台，各职能科室负责人之间建立多种沟通渠道，实时开展远程指导和交流二级妇幼保健院创建工作，确保帮扶工作见实效。 收起全文d"
336,锻造销售冠军——优秀医药代表的选用育留27年医药营销管理实战经验朱菁华老师从优秀销售经理需要掌握的选才、用才、育才和留才四大技能出发设计10小时掌握向下工作方法的核心要领，协助职场干部升职速度加快，成为一名真正的职业经理人#招聘##人力資源#中国卫生人才网#医疗##医药##职业规划#
337,"中国环球电视网点名出色医疗专员　马来西亚诺希山榜上有名
卫生总监拿督诺希山获中国环球电视网（CGTN）点名3位应对新冠肺炎疫情，表现专业又冷静，且发表明确不具政治色彩医疗建议的人士之一。
O网页链接
#新冠肺炎#
#马来西亚#
#第二家园#
#医疗#
#健康#
#遇见美好#"
338,
339,"#盐城爆料# 【网友投稿：盐城艾琪儿医院，你们是怎么胎检的？】
网友投稿原文如下：本人2020年5月9日在盐城艾琪儿妇产医院做NT排畸检查时，检查主任说我宝宝是畸形，于是开了堕胎药让我回家吃，我当时问了医生要不要再次做个复查，医生告诉我这个张华主任很权威，不需要再次复查，由于我的大宝也是在这个医院生的，所以对此医院还是比较信任的，但是我还是度过了人生最艰难的两夜，开始慢慢接受现实，准备吃药时肚子饿到不行吃了饭也就耽误了，婆婆看我这样舍不得，让我再去检查一下，于是我又去北三院，妇幼保健院复查了一下，都一切正常，我的心一下子明亮了，于是我又去艾琪儿找张华主任，重点来了！！！！！她居然说又正常了，昨天少一根血管，今天又长起来了，昨天还没看出来是男的，今天都看出来是男宝了！居然想告诉我婴儿性别是男的来搪塞我！随后她当场把误诊的检查单给销毁了，态度极其恶劣！把我们关在了门外！本来我们是打算退了误诊的检查费用就算了的，但是他们这个态度让我极其恼火与心寒，权威主任！！！呵呵呵。
以下是我留存误诊的检查报告照片，及正确的检查报告，大家一定要擦亮双眼！！！
关于此事，网友们怎么看？盐城#盐城身边事#全盐城#盐城##盐城新闻##江苏新闻##新闻##医疗##医院# 2盐城 收起全文d"
340,
341,"今天的海外医疗患者就医，所有人进去前都需要测量体温，用消毒水擦手；住院患者不能家属探望；所有门诊，必须有介绍信（来自专科小诊所）才能看病；原来的一天可以同时就诊2个科室，现在一天只能看一个科室。（照片均由日本国际医疗中心医疗翻译现场拍摄且经过患者及患者家属同意后发布）#医疗##健康##海外医疗#
——-日本国际医疗中心·严肃医疗 收起全文d"
342,
343,"【一日不需要$3意外保】🗣🗣

意外就是意料之外

每个阶段都有可能存在意外的风险

意外我们不能控制发生，但可控制意外后带来治疗费用，屋企担忧
彷徨的心情

富通贴心规划<伴您冋行>

总要有份在身边

意外保 一份就够好☝️

#醫療# #意外保险# #富通保险# #危疾# #新冠状病毒# #意外#富通保險#醫療# L香港富通保險YenKwok的微博视频 收起全文d"
344,"#医疗#
港口区#2020年世界地贫日# 宣传活动"
345,"👩🏻‍⚕️「予防医学专门店」，除了贩卖😷口罩💊药品这类的传统服务外，更导入了🤖AI科技与长照典范，提供健康管理、远距照护、乐龄健身房、乐龄学堂等服务，不只装潢等级提升，服务也更趋多元化❣️ #医疗 #台灣 #台湾
👉OThe Old Pharmacy | 白色不再是医疗院所唯一标准色：颠覆老药房形象的台湾云林「惠生大药局」"
346,
347,"昨天接到“江西省卫生综合监督执法局”的电话，告知我投诉医生违法行为，他们已经在4月16日立案了，处罚结果到时会在官网上公布。
记得一开始维权时，我只是想大事化小，步步退让，也不想花过多的精力深究;可是涉事医院南昌大学附属口腔医院却是没有解决的诚意，从上到下都是耍无赖的嘴脸。为了维权我大半年精神备受煎熬，每天睡眠不足5小时，身体和心理受到双从打击。
通过自己的不懈努力，维权终于有了眉目，反而现在内心特别复杂，不知道是该维持当初的诉求，还是继续相信法律和政府部门会还我一个公道。其实无论是怎样的结果，作为受害者都是输了，因为回不去了。#南昌身边事##江西##南昌##南昌爆料##医疗##医疗事故##医疗纠纷# 2南昌 2南昌 收起全文d"
348,"上午讲过的医疗器械板块走强，三友医疗涨逾15%，凯利泰拉升涨停，欧普康视、万东医疗、大博医疗等跟涨。
刺激消息除了美股下调外，阿里云计算有限公司将医疗器械销售作为新增经营范围。#医疗#"
349,
350,"纪录片#纪录片推荐##纪录片##中国医生战疫版##中国医生##医疗# 很珍贵的特辑，镜头深入病房，聚焦医护。开篇的曲子很好听，歌词掷地有声，“重组”之中，抗疫之间，透过镜头看到了一向在新闻中冷静沉着忙碌的他们泪目着感怀感染的同事、辞世的病人，强忍着不能再多言语；看到亲自上阵前线鼓励年轻医护的院长；了解到医护队还会带上一位工程师为病区解决供氧问题；发现三班倒的医护人员回到隔离酒店选着冰激凌口味时也会因简单的快乐而满足；喜欢上那位笑称是为了“情怀”而奔赴前线的乐观阳光的男护士；难忘那位在给去世奶奶的日记中写下“我没有做那个逃离的人”的准新娘。
武汉春天确实很美，感谢每一位平凡的你们没有逃离
播放平台:爱奇艺 每周三更新 今日首更 收起全文d"
351,#重庆网络问政# #医疗#【网友正在问：江津某社区医院打疫苗排号难】网友：小孩打疫苗需要全家出动，小孩打个疫苗就这么难吗。O江津某社区医院 小孩打疫苗排号难
352,"#保险##健康##医疗##保险理赔#
客户今年第二次意外理赔
ta说保费都已经回本了😂
所以保障还是要的，万一用得上呢"
353,
354,"🌎全球健康照护产业型态开始发生变化，关注焦点也从「急症治疗」转至以「预防保健」角度来思考健康照护体系的发展。随着物联网（IoT）科技应用日益成熟，以及 5G、智慧联网装置便利与普及，健康照护产业「获利模式」开始转向以「建立平台」与「解决方案」角度切入。 #医疗 #台灣
👉O世界首创 AIlCare ®人工智能健康管理实现与执行 收起全文d"
355,"紀念這廢寢忘休的日子
#香港保險##醫療#"
356,
357,"AR和VR不只在娱乐领域有巨大潜力，在医疗领域同样有广阔空间。特别在医疗培训、临床诊疗、远程医疗和医学干预等方面具有一定的优势。
蚌埠云森智能科技有限公司拥有中科院自动化所的专业团队，在AR和VR技术方面具有丰富的经验，能够突破实验设备、场地和经费等物理方面的局限，量身打造智能医疗系统。有效解决医疗痛点，打通AR/VR+医疗。#智能##医疗# L蚌埠云森智能科技的微博视频 收起全文d"
358,
359,上周确定好今天去医院做检查，确定时间和项目，可是上周医生不肯直接开单，要求必须重新挂号排队再开，无奈之下，今天又去排队，等了一个小时，进去十秒，开了单出来缴费，B超又是一个小时，拿着报告找医生，后天必须再来照一次做监测，再次恳请先开单，号照挂，就不必后天再排诊疗了，结果再次被拒绝。气愤难平直接到客服中心投诉，护士迅速处理好让我上去开单，结果医生直接冲到面前，打电话把客服中心护士训了一顿，态度嚣张至极，还直言你这样就少了诊金，都是为了医院。what？当着这么多患者说这样的话，你智商真的在线？为了诊金，为了你的私心，就让患者白等几个小时排队？这样有医德吗？我默不作声，拿着开好的单子，再次来到客服中心，再次投诉，旁边的患者也直言这家医院的医生很不好，大多态度不好。客服中心主任出来我说明情况后，表示了歉意，让我下次换一个医生，她也会跟这个医生去构图，她这样的行为是不对的。那好，我就后天来，看看是否还会再遇到这样的情况和刁难，如果再有，就点名请医院出来好好说明一下吧！#医疗# 收起全文d
360,"受疫情影响，医疗ETF涨逾3%再创历史新高，领涨股票型ETF；今年以来，医疗ETF场内价格累计上涨近35%，居股票型ETF中涨幅首位。
正川股份四连板了，主要受外媒报道称疫苗玻璃瓶告急的影响#医疗#"
361,
362,"【双氧水（过氧化氢）能不能用来治疗痤疮？】双氧水是很常用的消毒剂、杀菌剂，肯定不能注射治疗Covid-19，但是会有一些人用来治疗痤疮。主要的理由是双氧水一种抗菌剂，可以针对用于很多细菌或者真菌；同时可以去除皮脂、灰尘等，使皮肤干燥。但是目前仍然缺乏足够的证据支持双氧水治疗痤疮的有效性，也不属于治疗痤疮的一线药物。

过氧化氢治疗痤疮的问题是：
1.促进炎症，增加炎性痤疮局部发红、痛疼的表现。
2.在伤口恢复过程中，过氧化氢会影响成纤维细胞的形成。
3.过氧化氢不稳定，涂抹在皮肤后，短时间内可能已经失效。
4.有很多经过临床试验验证有效的药物可以使用，过氧化氢不是必须的选择。

治疗痤疮时，一定要及时和皮肤科医生交流，根据自己对药物的反应，调整治疗方法，找到最适合自己的治疗方法。#日本疫情##医疗##健康##海外医疗# 收起全文d"
363,
